Marine Animal ID,Marine Animal Name,Population ID,Population Name,Species ID,Specices Name
1,Cods and groupers (All),1,Cods and groupers,3,Coral reef fin fish
2,Barramundi cod,1,Cods and groupers,3,Coral reef fin fish
3,Camouflage grouper,1,Cods and groupers,3,Coral reef fin fish
4,Flowery rockcod,1,Cods and groupers,3,Coral reef fin fish
5,Greasy rockcod,1,Cods and groupers,3,Coral reef fin fish
6,Maori rockcod,1,Cods and groupers,3,Coral reef fin fish
7,Potato rockcod,1,Cods and groupers,3,Coral reef fin fish
8,Queensland groper,1,Cods and groupers,3,Coral reef fin fish
9,Coral trout (All),2,Coral trout,3,Coral reef fin fish
10,Blue spotted coral trout (Chinese footballer),2,Coral trout,3,Coral reef fin fish
11,Emperors (All),2,Emperors,3,Coral reef fin fish
12,Redthroat emperor (sweetlip emperor),3,Emperors,3,Coral reef fin fish
13,Long nose emperor,3,Emperors,3,Coral reef fin fish
14,Spangled emperor,3,Emperors,3,Coral reef fin fish
15,Fusiliers (All),4,Fusiliers,3,Coral reef fin fish
16,Parrotfishes (All),5,Parrotfishes,3,Coral reef fin fish
17,Surgeonfishes (All),6,Surgeonfishes,3,Coral reef fin fish
18,Sweetlips (All),7,Sweetlips,3,Coral reef fin fish
19,Tropical snappers and sea perches (All),8,Tropical snappers and sea perches,3,Coral reef fin fish
20,Chinaman fish,8,Tropical snappers and sea perches,3,Coral reef fin fish
21,Crimson snapper (small mouth nannygai),8,Tropical snappers and sea perches,3,Coral reef fin fish
22,Saddletail snapper (large mouth nannygai),8,Tropical snappers and sea perches,3,Coral reef fin fish
23,Flame snapper,8,Tropical snappers and sea perches,3,Coral reef fin fish
24,Goldband snapper,8,Tropical snappers and sea perches,3,Coral reef fin fish
25,Sharptooth snapper,8,Tropical snappers and sea perches,3,Coral reef fin fish
26,Green jobfish,8,Tropical snappers and sea perches,3,Coral reef fin fish
27,Hussar,8,Tropical snappers and sea perches,3,Coral reef fin fish
28,Rosy snapper (jobfish),8,Tropical snappers and sea perches,3,Coral reef fin fish
29,Lavendar snapper (jobfish),8,Tropical snappers and sea perches,3,Coral reef fin fish
30,Paddletail,8,Tropical snappers and sea perches,3,Coral reef fin fish
31,Red bass,8,Tropical snappers and sea perches,3,Coral reef fin fish
32,Red emperor,8,Tropical snappers and sea perches,3,Coral reef fin fish
33,Ruby snapper,8,Tropical snappers and sea perches,3,Coral reef fin fish
34,Smalltooth jobfish,8,Tropical snappers and sea perches,3,Coral reef fin fish
35,Miscellaneous jobfish,8,Tropical snappers and sea perches,3,Coral reef fin fish
36,Wrasse (All),9,Wrasse,3,Coral reef fin fish
37,Humphead Maori,9,Wrasse,3,Coral reef fin fish
38,Tuskfish,9,Wrasse,3,Coral reef fin fish
39,Australian bass (All),9,Australian bass,1,Australian bass
40,Barramundi,10,Barramundi,2,Barramundi
41,Pikey,11,Bream,8,Other Species
42,Tarwhine,11,Bream,8,Other Species
43,Yellowfin,11,Bream,8,Other Species
44,Moreton Bay (bay lobster),12,Bugs,8,Other Species
45,Smooth (Balmain),12,Bugs,8,Other Species
46,Cobia (black kingfish),13,Cobia (black kingfish),8,Other Species
47,Cod (estuary),14,Cod (estuary),8,Other Species
48,Blue swimmer,15,Crab ,8,Other Species
49,Mud,15,Crab ,8,Other Species
50,Spanner,15,Crab ,6,Spanner crabs
51,Three-spot,15,Crab ,8,Other Species
52,Longfin,16,Eels,8,Other Species
53,Pacific shortfin (south Pacific),16,Eels,8,Other Species
54,Southern shortfin,16,Eels,8,Other Species
55,Flathead (All),17,Flathead,8,Other Species
56,Dusky (mud flathead),17,Flathead,8,Other Species
57,Garfish (All),18,Garfish,8,Other Species
58,Green snail (All),19,Green snail,8,Other Species
59,Golden snapper (fingermark) (All),20,Golden snapper (fingermark),8,Other Species
60,Grass emperor (sweetlip) (All),21,Grass emperor (sweetlip),8,Other Species
61,Barred (spotted grunter)(East coast),22,Javelin,8,Other Species
62,Barred (spotted grunter)(Gulf of Carpentaria),22,Javelin,8,Other Species
63,Silver (small spotted grunter),22,Javelin,8,Other Species
64,Black (East coast),23,Jewfish,8,Other Species
65,Black (Gulf of Carpentaria),23,Jewfish,8,Other Species
66,Scaly (jewel fish),23,Jewfish,8,Other Species
67,Luderick (All),24,Luderick,8,Other Species
68,Grey,25,Mackerel,8,Other Species
69,Spanish,25,Mackerel,8,Other Species
70,School,25,Mackerel,8,Other Species
71,Shark,25,Mackerel,8,Other Species
72,Spotted,25,Mackerel,8,Other Species
73,Mahi mahi (dolphin fish) (All),26,Mahi mahi (dolphin fish),8,Other Species
74,Mangrove jack (All),27,Mangrove jack,8,Other Species
75,Diamondscale,28,Mullet,8,Other Species
76,Sea,28,Mullet,8,Other Species
77,"Mullet exceptions (all other mullet except diamondscale, sea and freshwater)",28,Mullet,8,Other Species
78,Bivalve molluscs and gastropods (All),29,Bivalve molluscs and gastropods,8,Other Species
79,Clams (family Tridacnidae),29,Bivalve molluscs and gastropods,8,Other Species
80,Helmet shells,29,Bivalve molluscs and gastropods,8,Other Species
81,Trumpet shells,29,Bivalve molluscs and gastropods,8,Other Species
82,Oysters (All),30,Oysters,8,Other Species
83,Blacklip pearl oyster,30,Oysters,8,Other Species
84,Goldlip pearl oyster,30,Oysters,8,Other Species
85,Mulloway (All),31,Mulloway,8,Other Species
86,Pearl perch (All),32,Pearl perch,5,Pearl perch
87,Prawns (All),33,Prawns,8,Other Species
88,Rays (All),34,Rays,8,Other Species
89,Guitarfish,34,Rays,8,Other Species
90,Manta ray,34,Rays,8,Other Species
91,Shovelnose ray,34,Rays,8,Other Species
92,Sawfish (All),35,Sawfish,8,Other Species
93,Sea cucumber (All),36,Sea cucumber,8,Other Species
94,Black teatfish,36,Sea cucumber,8,Other Species
95,White teatfish,36,Sea cucumber,8,Other Species
96,Sharks (All),37,Sharks,8,Other Species
97,Grey reef shark,37,Sharks,8,Other Species
98,Whitetip reef shark,37,Sharks,8,Other Species
99,White shark,37,Sharks,8,Other Species
100,Sand tiger shark,37,Sharks,8,Other Species
101,Speartooth shark,37,Sharks,8,Other Species
102,Hammerhead sharks,37,Sharks,8,Other Species
103,Snapper (All),38,Snapper,4,Snapper
104,Tailor (All),39,Tailor,8,Other Species
105,Teraglin (All),40,Teraglin,8,Other Species
106,King (East coast),41,Salmon,8,Other Species
107,King (Gulf of Carpentaria),41,Salmon,8,Other Species
108,Blue (East coast),41,Salmon,8,Other Species
109,Blue (Gulf of Carpentaria),41,Salmon,8,Other Species
110,Trevally (All),42,Trevally ,8,Other Species
111,Amberjack,42,Trevally ,8,Other Species
112,Samsonfish,42,Trevally ,8,Other Species
113,Swallowtail dart,42,Trevally ,8,Other Species
114,Giant queenfish,42,Trevally ,8,Other Species
115,Yellowtail kingfish,42,Trevally ,8,Other Species
116,Trochus (All),43,Trochus,8,Other Species
117,Tropical rock lobster (All),44,Tropical rock lobster,8,Other Species
118,Painted crayfish,44,Tropical rock lobster,7,Tropical rock lobster
119,Red Champagne Lobster,44,Tropical rock lobster,8,Other Species
120,Wahoo (All),45,Wahoo,8,Other Species
121,Sand (summer),46,Whiting,8,Other Species
122,Goldenline ,46,Whiting,8,Other Species
123,Northern,46,Whiting,8,Other Species
124,Trumpeter (winter),46,Whiting,8,Other Species
125,Dorab Wolf herring (All),47,Dorab Wolf herring,8,Other Species
126,Beach worm,48,Worms,8,Other Species
127,Cribb Island worms,48,Worms,8,Other Species
128,Southern herring,49,Tidal bait species,8,Other Species
129,Common hardyhead,49,Tidal bait species,8,Other Species
130,Australian sardine,49,Tidal bait species,8,Other Species
131,Australian anchovy,49,Tidal bait species,8,Other Species
132,Silver biddy,49,Tidal bait species,8,Other Species
133,Saltwater yabby,49,Tidal bait species,8,Other Species
134,Soldier crab,49,Tidal bait species,8,Other Species
135,Non-regulated worms,49,Tidal bait species,8,Other Species
136,"Mullet   (excluding diamondscale,  sea and freshwater)",49,Tidal bait species,8,Other Species
137,Cuttlefish or squid  (excluding tiger squid),49,Tidal bait species,8,Other Species
138,Smooth-clawed rock crab,49,Tidal bait species,8,Other Species
139,Yellowtail pike,49,Tidal bait species,8,Other Species
